ID,min_year,max_year
27508,2000,2005
27509,2000,2005
27511,2001,2005
27512,2001,2004
27513,2000,2005
27517,2000,2005
27519,2000,2005
27520,2000,2005
27521,2000,2005
27522,2001,2005
27523,2003,2005
27525,2000,2005
27526,2000,2005
27528,2000,2004
27529,2000,2005
27530,2001,2005
27531,2001,2005
27532,2001,2005
27533,2001,2005
27537,2001,2005
27538,2001,2005
27539,2001,2005
27540,2001,2003
27542,2001,2005
27543,2001,2005
27544,2002,2005
27545,2002,2005
27549,2001,2005
27550,2001,2005
27551,2001,2005
27552,2001,2005
27604,2006,2008
27957,1984,2000
27958,1984,2000
27959,1984,2000
27960,1984,2000
28331,1976,2013
28362,1985,2018
28364,1973,2019
28365,1987,2019
28428,2010,2012
28613,2009,2010
28645,1993,1995
28646,1993,1995
28647,1993,1995
28648,2007,2009
28649,2007,2009
28650,2007,2009
28651,2007,2009
28652,2007,2009
28656,2000,2002
28658,2000,2002
28678,1975,2006
28679,1971,2006
28680,1970,2001
28682,1994,2005
28683,1995,2005
28684,1990,2005
28699,1996,1998
28700,1996,1998
28702,2004,2016
28710,1991,2001
28716,2010,2020
28717,2010,2020
28718,2010,2020
28719,2010,2020
28720,2010,2020
28721,2010,2020
28722,2010,2019
28723,2010,2019
28724,2010,2019
28725,2010,2019
28726,2010,2019
28727,2010,2020
28728,2010,2020
28729,2010,2020
28730,2010,2020
28731,2010,2020
28732,2010,2020
28733,2010,2019
28734,2010,2019
28735,2010,2019
28736,2010,2019
28737,2010,2019
28738,2010,2020
28739,2010,2020
28740,2010,2020
28741,2010,2020
28742,2010,2020
28743,2010,2020
28744,2010,2019
28745,2010,2019
28746,2010,2019
28747,2010,2019
28748,2010,2019
28749,2010,2020
28750,2010,2020
28751,2010,2020
28752,2010,2020
28753,2010,2020
28754,2010,2020
28755,2010,2020
28756,2010,2020
28757,2010,2020
28758,2010,2019
28759,2010,2020
28760,2010,2020
28762,2010,2020
28763,2010,2020
28764,2010,2020
28765,2010,2020
28766,2010,2020
28767,2010,2020
28768,2010,2019
28769,2010,2019
28770,2010,2019
28771,2010,2019
28772,2010,2019
28773,2010,2020
28774,2010,2020
28775,2010,2020
28776,2010,2019
28777,2010,2019
28778,2010,2019
28779,2010,2020
28780,2010,2020
28781,2010,2020
28782,2010,2020
28783,2010,2019
28795,2010,2020
28796,2010,2020
28797,2010,2020
28798,2010,2020
28799,2010,2020
28800,2010,2020
28801,2010,2019
28802,2010,2019
