"ID","Binomial","Class","Latitude","Longitude","FW_realm","FW_biome","Units","n_datapoints","mean","median","min","max","sd","min_year","max_year","duration"
882,"Salvelinus_confluentus","Actinopteri",47.8875,-114.11667,"Nearctic","Temperate upland rivers","Number of trout redd",16,-0.0442654425070078,-0.0404534859948446,-0.0913292888479176,0.00447918906664224,0.0379394666552436,1979,1995,16
883,"Salvelinus_confluentus","Actinopteri",47.95889,-113.89389,"Nearctic","Temperate upland rivers","Number of trout redd",13,0.0431538580606115,0.0431538580613986,0.0431538580570794,0.043153858063224,2.47210380088088e-12,1982,1995,13
884,"Salvelinus_confluentus","Actinopteri",48.25167,-116.05701,"Nearctic","Temperate upland rivers","Number of trout redd",11,-0.0353531271855184,-0.0353531271854406,-0.0353531271857941,-0.0353531271852618,2.0940735357087e-13,1983,1994,11
903,"Xyrauchen_texanus","Actinopteri",39.83638,-109.46961,"Nearctic","Xeric freshwaters and endorheic basins","Number of individuals",10,-0.036550451401541,-0.0760659291551082,-0.460337633903544,0.349091441134221,0.25615581333496,1982,1992,10
904,"Acris_gryllus","Amphibia",29.68333,-82,"Nearctic","Tropical and subtropical coastal rivers","Total number of individuals caught (marked and unmarked)",4,-0.0475142287981263,-0.0102981175179186,-0.490694061908936,0.321233381752268,0.33971979178237,1986,1990,4
905,"Ambystoma_laterale","Amphibia",41.72556,-87.85278,"Nearctic","Temperate floodplain rivers and wetlands","Number of individuals captured",4,-0.0155369766872112,-0.0521046258747779,-0.163396988427476,0.205458333428187,0.15934305716886,1991,1995,4
906,"Ambystoma_maculatum","Amphibia",45.612,-65.038,"Nearctic","Temperate coastal rivers","egg mass counts",5,0.0249877473216599,-0.0969100130080565,-0.823908740944319,0.823908740944319,0.623154319143097,1986,1991,5
907,"Ambystoma_maculatum","Amphibia",45.612,-65.038,"Nearctic","Temperate coastal rivers","egg mass counts",6,0.0749041993973623,0.0448363664975748,-0.0961794922607004,0.419303060287564,0.191400982456401,1985,1991,6
908,"Ambystoma_maculatum","Amphibia",45.612,-65.038,"Nearctic","Temperate coastal rivers","egg mass counts",6,-0.00479040616006395,0.0164740384634529,-0.56020306830415,0.385875497270657,0.327575815089109,1985,1991,6
909,"Ambystoma_maculatum","Amphibia",41.72556,-87.85278,"Nearctic","Temperate floodplain rivers and wetlands","Number of individuals captured",4,-0.161565913455004,-0.165496609520712,-0.361027925339267,0.045757490560675,0.199614283306255,1991,1995,4
