"","sci_name","Group"
"479","Xenochrophis vittatus","Reptile"
"480","Xenodermus javanicus","Reptile"
"481","Xenodon matogrossensis","Reptile"
"482","Xenodon werneri","Reptile"
"483","Zonosaurus maximus","Reptile"
"484","Anotomys leander","Mammal"
"485","Aonyx capensis","Mammal"
"486","Aonyx cinereus","Mammal"
"487","Aonyx congicus","Mammal"
"488","Arvicola amphibius","Mammal"
"489","Arvicola sapidus","Mammal"
"490","Atilax paludinosus","Mammal"
"491","Axis porcinus","Mammal"
"492","Babyrousa babyrussa","Mammal"
"493","Babyrousa celebensis","Mammal"
"494","Babyrousa togeanensis","Mammal"
"495","Baiyankamys shawmayeri","Mammal"
"496","Blastocerus dichotomus","Mammal"
"497","Bubalus arnee","Mammal"
"498","Castor canadensis","Mammal"
"499","Castor fiber","Mammal"
"500","Cephalorhynchus eutropia","Mammal"
"501","Chimarrogale hantu","Mammal"
"502","Chimarrogale himalayica","Mammal"
"503","Chimarrogale phaeura","Mammal"
"504","Chimarrogale platycephalus","Mammal"
"505","Chimarrogale styani","Mammal"
"506","Chironectes minimus","Mammal"
"507","Choeropsis liberiensis","Mammal"
"508","Colomys goslingi","Mammal"
"509","Crossomys moncktoni","Mammal"
"510","Dasymys montanus","Mammal"
"511","Deltamys kempi","Mammal"
"512","Deomys ferrugineus","Mammal"
"513","Dephomys defua","Mammal"
"514","Desmana moschata","Mammal"
"515","Desmomys harringtoni","Mammal"
"516","Galemys pyrenaicus","Mammal"
"517","Genetta piscivora","Mammal"
"518","Hippopotamus amphibius","Mammal"
"519","Holochilus brasiliensis","Mammal"
"520","Holochilus chacarius","Mammal"
"521","Holochilus sciureus","Mammal"
"522","Hydrictis maculicollis","Mammal"
"523","Hydrochoerus hydrochaeris","Mammal"
"524","Hydropotes inermis","Mammal"
"525","Ichthyomys hydrobates","Mammal"
"526","Ichthyomys pittieri","Mammal"
"527","Inia geoffrensis","Mammal"
"528","Kobus vardonii","Mammal"
"529","Lemmus lemmus","Mammal"
"530","Leptailurus serval","Mammal"
"531","Limnogale mergulus","Mammal"
"532","Lontra canadensis","Mammal"
"533","Lontra felina","Mammal"
"534","Lontra longicaudis","Mammal"
"535","Lontra provocax","Mammal"
"536","Lundomys molitor","Mammal"
"537","Lutra lutra","Mammal"
"538","Lutra sumatrana","Mammal"
"539","Lutrogale perspicillata","Mammal"
"540","Micropotamogale lamottei","Mammal"
"541","Micropotamogale ruwenzorii","Mammal"
"542","Microtus richardsoni","Mammal"
"543","Moschiola indica","Mammal"
"544","Moschiola kathygre","Mammal"
"545","Moschiola meminna","Mammal"
"546","Mustela lutreola","Mammal"
"547","Nectomys apicalis","Mammal"
"548","Nectomys palmipes","Mammal"
"549","Nectomys rattus","Mammal"
"550","Nectomys squamipes","Mammal"
"551","Neofiber alleni","Mammal"
"552","Neomys anomalus","Mammal"
"553","Neomys fodiens","Mammal"
"554","Neomys milleri","Mammal"
"555","Neomys teres","Mammal"
"556","Neophocaena asiaeorientalis","Mammal"
"557","Neotomys ebriosus","Mammal"
"558","Nesokia bunnii","Mammal"
"559","Neusticomys monticolus","Mammal"
"560","Neusticomys mussoi","Mammal"
"561","Neusticomys peruviensis","Mammal"
"562","Neusticomys venezuelae","Mammal"
"563","Ondatra zibethicus","Mammal"
"564","Orcaella brevirostris","Mammal"
"565","Ornithorhynchus anatinus","Mammal"
"566","Oryzomys couesi","Mammal"
"567","Oryzomys palustris","Mammal"
"568","Otomys lacustris","Mammal"
"569","Otomys laminatus","Mammal"
"570","Parahydromys asper","Mammal"
"571","Pelomys fallax","Mammal"
"572","Phoca vitulina","Mammal"
"573","Platanista gangetica","Mammal"
"574","Platanista minor","Mammal"
"575","Potamogale velox","Mammal"
"576","Prionailurus planiceps","Mammal"
"577","Prionailurus viverrinus","Mammal"
"578","Procyon cancrivorus","Mammal"
"579","Pteronura brasiliensis","Mammal"
"580","Pusa caspica","Mammal"
"581","Pusa hispida","Mammal"
"582","Pusa sibirica","Mammal"
"583","Rheomys mexicanus","Mammal"
"584","Rheomys raptor","Mammal"
"585","Rheomys thomasi","Mammal"
"586","Rheomys underwoodi","Mammal"
"587","Rhinoceros unicornis","Mammal"
"588","Rucervus duvaucelii","Mammal"
"589","Rucervus eldii","Mammal"
"590","Ruwenzorisorex suncoides","Mammal"
"591","Scapteromys aquaticus","Mammal"
"592","Sigmodon inopinatus","Mammal"
"593","Sigmodon peruanus","Mammal"
"594","Sotalia fluviatilis","Mammal"
"595","Sotalia guianensis","Mammal"
"596","Sousa chinensis","Mammal"
"597","Sousa teuszii","Mammal"
"598","Tapirus bairdii","Mammal"
"599","Tapirus indicus","Mammal"
"600","Tapirus pinchaque","Mammal"
"601","Tapirus terrestris","Mammal"
"602","Thryonomys swinderianus","Mammal"
"603","Tragelaphus spekii","Mammal"
"604","Trichechus inunguis","Mammal"
"605","Trichechus manatus","Mammal"
"606","Trichechus senegalensis","Mammal"
"607","Xeromys myoides","Mammal"
"608","Abavorana luctuosa","Amphibian"
"609","Abavorana nazgul","Amphibian"
"610","Acris blanchardi","Amphibian"
"611","Acris crepitans","Amphibian"
"612","Acris gryllus","Amphibian"
"613","Adelophryne baturitensis","Amphibian"
"614","Adelophryne gutturosa","Amphibian"
"615","Adelotus brevis","Amphibian"
"616","Adenomera bokermanni","Amphibian"
"617","Adenomera diptyx","Amphibian"
"618","Adenomera hylaedactyla","Amphibian"
"619","Adenomera kayapo","Amphibian"
"620","Adenomera saci","Amphibian"
"621","Adenomera thomei","Amphibian"
"622","Adenomus kandianus","Amphibian"
"623","Adenomus kelaartii","Amphibian"
"624","Afrixalus aureus","Amphibian"
"625","Afrixalus brachycnemis","Amphibian"
"626","Afrixalus clarkei","Amphibian"
"627","Afrixalus crotalus","Amphibian"
"628","Afrixalus delicatus","Amphibian"
"629","Afrixalus dorsalis","Amphibian"
"630","Afrixalus dorsimaculatus","Amphibian"
"631","Afrixalus enseticola","Amphibian"
"632","Afrixalus equatorialis","Amphibian"
"633","Afrixalus fornasini","Amphibian"
"634","Afrixalus fulvovittatus","Amphibian"
"635","Afrixalus knysnae","Amphibian"
"636","Afrixalus lacteus","Amphibian"
"637","Afrixalus laevis","Amphibian"
"638","Afrixalus leucostictus","Amphibian"
"639","Afrixalus morerei","Amphibian"
"640","Afrixalus nigeriensis","Amphibian"
"641","Afrixalus orophilus","Amphibian"
"642","Afrixalus osorioi","Amphibian"
"643","Afrixalus paradorsalis","Amphibian"
"644","Afrixalus quadrivittatus","Amphibian"
"645","Afrixalus septentrionalis","Amphibian"
"646","Afrixalus spinifrons","Amphibian"
"647","Afrixalus stuhlmanni","Amphibian"
"648","Afrixalus sylvaticus","Amphibian"
"649","Afrixalus uluguruensis","Amphibian"
"650","Afrixalus vibekensis","Amphibian"
"651","Afrixalus vittiger","Amphibian"
"652","Afrixalus weidholzi","Amphibian"
"653","Afrixalus wittei","Amphibian"
"654","Agalychnis annae","Amphibian"
"655","Agalychnis buckleyi","Amphibian"
"656","Agalychnis callidryas","Amphibian"
"657","Agalychnis dacnicolor","Amphibian"
"658","Agalychnis hulli","Amphibian"
"659","Agalychnis lemur","Amphibian"
"660","Agalychnis medinae","Amphibian"
"661","Agalychnis moreletii","Amphibian"
"662","Agalychnis psilopygion","Amphibian"
"663","Agalychnis saltator","Amphibian"
"664","Agalychnis spurrelli","Amphibian"
"665","Agalychnis terranova","Amphibian"
"666","Aglyptodactylus australis","Amphibian"
"667","Aglyptodactylus chorus","Amphibian"
"668","Aglyptodactylus inguinalis","Amphibian"
"669","Aglyptodactylus laticeps","Amphibian"
"670","Aglyptodactylus madagascariensis","Amphibian"
"671","Aglyptodactylus securifer","Amphibian"
"672","Alcalus mariae","Amphibian"
"673","Alcalus rajae","Amphibian"
"674","Alcalus tasanae","Amphibian"
"675","Allobates algorei","Amphibian"
"676","Allobates brunneus","Amphibian"
"677","Allobates caeruleodactylus","Amphibian"
"678","Allobates carajas","Amphibian"
"679","Allobates chalcopis","Amphibian"
"680","Allobates conspicuus","Amphibian"
"681","Allobates crombiei","Amphibian"
"682","Allobates femoralis","Amphibian"
"683","Allobates flaviventris","Amphibian"
"684","Allobates fratisenescus","Amphibian"
"685","Allobates fuscellus","Amphibian"
"686","Allobates gasconi","Amphibian"
"687","Allobates goianus","Amphibian"
"688","Allobates grillisimilis","Amphibian"
"689","Allobates hodli","Amphibian"
"690","Allobates humilis","Amphibian"
"691","Allobates insperatus","Amphibian"
"692","Allobates juami","Amphibian"
"693","Allobates juanii","Amphibian"
"694","Allobates kingsburyi","Amphibian"
